GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
Clean_Code_LeitTHau,default,JsonHelper.TranslationRequestBody,12,26,0,0,6,10,3,5,3,5
Clean_Code_LeitTHau,default,Synchronizer,85,103,6,4,31,37,8,15,5,13
Clean_Code_LeitTHau,default,Configuration,3,12,0,0,1,6,1,3,1,3
Clean_Code_LeitTHau,default,Log,11,26,0,0,6,9,3,4,3,4
Clean_Code_LeitTHau,default,WebNodeTranslator,24,55,6,2,5,13,4,4,0,4
Clean_Code_LeitTHau,default,Main.new Callback() {...},29,0,0,0,6,0,3,0,3,0
Clean_Code_LeitTHau,default,JsonHelper,6,20,0,0,3,6,1,2,1,2
Clean_Code_LeitTHau,default,Main.1.new Callback() {...},20,0,0,0,5,0,3,0,3,0
Clean_Code_LeitTHau,default,Translator,122,89,4,0,26,14,14,4,12,4
Clean_Code_LeitTHau,default,WebNode,160,137,15,7,36,32,23,14,14,12
Clean_Code_LeitTHau,default,MarkdownFactory,26,119,3,5,6,24,2,9,0,7
Clean_Code_LeitTHau,default,WebNodeTranslator.new Callback() {...},14,9,0,0,5,1,2,1,2,1
Clean_Code_LeitTHau,default,Main,74,0,4,0,19,0,4,0,2,0
